,h_sales_code_hash,sales_code
94,f435c940c7811a3fb1308a949697bc7b0e91726b,G0Y
95,9b3df6c8d56e8008330f2532618a4546d051eda8,Q2J
96,7bfe671f3e6ba1f11ea29c478ddec874d4dacae1,S5M
97,e4bad4252c8668e05b80fe520f1f07a7348ae16e,Q7C
98,7433c1a15743ae0f2533c5ca2d05575326e24a89,W7L
99,fdeaf4233d3a0f38b6e896faa9e06fd1739426c6,Z2W
100,8603dd15308a7a744e285c229c3fd2af62141233,I9H
101,5e6ef6be6b7c9e8670460ed97033936e9c8c0404,V0U
102,a3a8a44d329babf697c758e991fe47380514969f,F6N
103,e46adf2ba71ea461aa6fe2b6f3d112b6d93565ce,K0U
104,601471257b1d551f7703789840256fc52aefa84f,Q2S
105,e6e1b3a03f4e7e180f96e148c80b951707e4aaff,F7Q
106,79d6076de540b615140f5ec5ba45083df8c376b7,P2M
107,36579f3c3f9dab017192155216976abc86e5aabb,D4A
108,3422ffb214a272f97fbff46c9652b370d64e6dc9,E3Z
109,e919e1f0aee44c67e10ae0000c7165639d895d09,C4K
110,bb27ec9bcab34e509e64dc92bd240fa68c68aefa,K4C
111,245b3b515d2c4454a9c44a8bcb4ff9bdeda4c5fb,O8N
112,14512e64758c39286f9da8b147197d9a1869e1fd,P2C
113,18c6824f2fa8015d494cfe17b708361f5b1fa3b9,V7H
114,056fde707890cf7cb4466efe0519691cbb71e274,S5S
115,cfbe04a203b4d0944e033e4e784c71ee8aa45530,Q3D
116,309a9bf9ee847dfb2db9617971e7c1f6bd90e7ff,Q4D
117,4975952f1fbf03494bc66363a068c9b00745f0f9,K1R
118,2c472c1558cfbb87056b56ae0246465577d3803f,D5X
119,f89ee9af20cdbd503c86606b400a4ed901140482,M5M
120,85a02b550fafebe82b2f8f5ce79f79cc7edff2d4,N0B
121,d171faa28582e7434b525cb97ee12ff7bc418f75,A0H
122,9d8a833da29ff1265fb1ed8c1a819738e66f895a,E6H
123,74b2a575c531b8571e7b45773e6377a61ae35fed,T0R
124,70ac43a1ccf328725b643b75e665ab2c93310602,N5H
125,a3c28d6e0157cbf550062bb95278e992807a3ee0,D1K
126,786f81334dee17837a0645c9a4a4b10871cc1d8a,F6B
127,363796015525cd0dfe6845f97df37da1310503ff,R1C
128,7e5c109a593b01441282f8cc97b00da4607718e6,U0B
129,51f94f6179b3068a8f15f68760a72f0d88777cb1,Z8O
130,2490c10ed340ce1edfa2ad5fdbd1ddc0c7ce6c92,D0E
131,f33f19be19317c16e1c0820b1cd431fc3da90ca5,K1P
132,da42be2ca8abecf90a4f1334f97f54d311781cae,E6K
133,a3e4337457ce966d3671c97ec41f464c9a7a289d,U7G
134,52f30cc2e8dd60abf2230537e9657ef91e5e3ab9,Z1T
135,e7051bd8692c04baf3ef310b03114581df74fd84,Z2C
136,218e8f8f987ee1a50262a82a20ee8de2768f3b39,Z1Z
137,8c2143beeeed6ce452b9f3010cc843be4d013236,N1T
138,ccf7b43c081575474a39e7e3ac3ae5a24e1e0315,F3K
139,b94af1297cfcd1ac8f6e59eaa64ed4d3ab81a626,N3T
140,6155cc72eb0cb9948a94f90fa270d929fc146128,V2C
141,dfc06e54415d70e17dd4a0d2346f752eadc39201,P5X
142,2b06b9a0ab96a5ccea4c0cc144e4c8761a943ba6,U6D
143,c81c7a375c4ddd11c8fd0537942202448e385546,C5R
144,cce4c637c2d8d155cf3b75708eb7ebad134e4187,F0B
145,5246c3d09972c28085ca58976dda776fab469fa1,V3A
146,78660ba146c909f62cbf65ba7b706568027ae383,K4K
147,270be31b97c1dba000434f0199c3d84b3cdac76d,I6O
148,46f0811da1b8c8ebe034c38014dbba8ed5eb7fb9,F8C
149,a9c78969ab58033fda95cb49909170b8d75cff59,F8X
150,e2fd839daf68de69e57fa1386aa3080abec19cc9,D5E
151,c37e73ce055c39013d12874fa0e0fd11550a0b3c,Q6C
152,5ae5f68c9942cc798a2b13bcb40f08fa9e70ef05,K0V
153,2921eb41bb88ca45e886ab89bef3cdd80c6366d6,Z1Q
154,c03f4c116bcc4c58db1490c2322a5df5b4d23b90,Z5G
155,a0bc831c67d6cad1779306daf0153b558b38f5f3,E2J
156,788776597d5c20879792597403334e5322ce27c0,U5A
157,9b46cfb0c5a51a3fabe12073f178c67df3bd0984,R8J
158,95f5ec090da546dcdf0c0d504a2781dddf61d5bc,R2X
159,81b7af9a03eb30e2bd54c03496f2e50ca90c2c04,K1B
160,d9819cf811a46e261127e627d72a3f84cc99ea29,D3E
161,c1bc39e9b3800c76e3ef01bd0583462d51b09737,D0B
